[2026-02-13 19:22:30] [INFO] Worker Analytics avviato correttamente
[2026-02-13 19:25:37] [INFO] Worker fermato manualmente
[2026-02-13 19:25:37] [INFO] Worker terminato. Messaggi: 0, Errori: 0
[2026-02-13 19:25:41] [INFO] Worker Analytics avviato correttamente
[2026-02-13 19:31:02] [INFO] Worker fermato manualmente
[2026-02-13 19:31:02] [INFO] Worker terminato. Messaggi: 0, Errori: 0
[2026-02-13 19:31:08] [INFO] Worker Analytics avviato correttamente
[2026-02-13 19:52:18] [INFO] Worker fermato manualmente
[2026-02-13 19:52:18] [INFO] Worker terminato. Messaggi: 0, Errori: 0
[2026-02-14 12:42:11] [INFO] Worker Analytics avviato correttamente
[2026-02-14 12:54:52] [ERROR] Errore elaborazione messaggio: 'gaze_horizontal'
[2026-02-14 12:58:54] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:54] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:54] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:54] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:54] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:54] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:55] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:56] [WARNING] Errore calcolo metriche estese: 'timestamp'
